Frequency,Voltage,Active Power Load,Reactive Power Load,Secondary Control Signal 1,Secondary Control Signal 2,Loading Ratio,"Labels (0=>Normal, 1=>Attack)"
3596094.048,119.999998,0.003362325,0.000663849,3596094.048,0,0.001008698,0
3596094.048,119.9999973,0.00330298,0.000669853,3596094.048,10000000,0.000990894,0
3596094.048,119.9999986,0.0033361,0.000667902,3596094.048,8342258.997,0.00100083,0
3596094.048,119.9999978,0.003309259,0.000661063,3596094.048,2803644.86,0.000992778,0
3596094.048,119.9999979,0.003307382,0.000659654,3596094.048,1321023.891,0.000992215,0
3596094.048,119.9999982,0.003321585,0.000661005,3596094.048,2794901.629,0.000996475,0
3596094.048,119.9999978,0.003304563,0.000667811,3596094.048,2413658.9,0.000991369,0
3596094.048,119.9999981,0.003303947,0.000664214,3596094.048,1055202.628,0.000991184,0
3596094.048,119.999998,0.0033389,0.000666413,3596094.048,161586.2681,0.00100167,0
3596094.048,119.999998,0.003362073,0.000660152,3596094.048,163533.5628,0.001008622,0
3596094.048,119.999998,0.003325824,0.000668614,3596094.048,300840.134,0.000997747,0
3596094.048,119.999998,0.003351758,0.000666031,3596094.048,367633.287,0.001005527,0
3596094.048,119.999998,0.003358543,0.00066459,3596094.048,196995.6797,0.001007563,0
3596094.048,119.999998,0.003320691,0.000663456,3596094.048,58662.48829,0.000996207,0
3596094.048,119.999998,0.003317176,0.000663522,3596094.048,130612.7965,0.000995153,0
3596094.048,119.999998,0.00336188,0.000670641,3596094.048,257607.76,0.001008564,0
3596094.048,119.999998,0.003313781,0.000669694,3596094.048,169933.5541,0.000994134,0
3596094.048,119.999998,0.003317301,0.000667954,3596094.048,84145.96737,0.00099519,0
3596094.048,119.999998,0.003324511,0.000672405,3596094.048,90008.52702,0.000997353,0
3596094.048,119.999998,0.003298907,0.000661989,3596094.048,14234.03482,0.000989672,0
3596094.048,119.999998,0.003312354,0.000669333,3596094.048,302504.9966,0.000993706,0
3596094.048,119.999998,0.003334361,0.000660202,3596094.048,141283.5929,0.001000308,0
3596094.048,119.999998,0.003335822,0.000672518,3596094.048,195055.1418,0.001000746,0
