Evaluation,,,,,,,,Evaluation,,,,,,,,Evaluation,,,,,,,,Evaluation,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Univariate,,,,,,,,Univariate,,,,,,,,Univariate,,,,,,,,Univariate,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,
Logistic_regression,74.1%,75.0%,61.9%,67.8%,83.8%,,,Logistic_regression,74.1%,75.0%,61.9%,67.8%,83.80%,,,Logistic_regression,75.3%,66.0%,63.6%,64.8%,81.80%,,,Logistic_regression,75.30%,66.00%,63.60%,64.80%,81.80%,
"Decision Tree""",74.8%,74.5%,65.1%,69.5%,82.5%,,,Decision Tree,74.8%,74.5%,65.1%,69.5%,82.50%,,,Decision Tree,70.8%,57.6%,69.1%,62.8%,71.70%,,,Decision Tree,70.80%,57.60%,69.10%,62.80%,71.70%,
Gradient Boosting,76.9%,80.0%,63.5%,70.8%,87.5%,,,Gradient Boosting,76.9%,80.0%,63.5%,70.8%,87.50%,,,Gradient Boosting,72.7%,61.8%,61.8%,61.8%,78.80%,,,Gradient Boosting,72.10%,60.30%,63.60%,61.90%,76.80%,
Neural Network,75.5%,78.0%,61.9%,69.0%,86.3%,,,Neural Network,75.5%,78.0%,61.9%,69.0%,86.30%,,,Neural Network,72.7%,78.3%,32.7%,46.2%,94.90%,,,Neural Network,72.70%,78.30%,32.70%,46.20%,94.90%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Classifier,,,,,,,,Tree Classifier,,,,,,,,Tree Classifier,,,,,,,,Tree Classifier,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,
Logistic_regression,,,,,,,,Logistic_regression,,,,,,,,Logistic_regression,76.0%,67.3%,63.6%,65.4%,82.80%,,,Logistic_regression,76.00%,67.30%,63.60%,65.40%,82.80%,
"Decision Tree""",,,,,,,,Decision Tree,,,,,,,,Decision Tree,74.0%,61.9%,70.9%,66.1%,75.80%,,,Decision Tree,74.00%,61.90%,70.90%,66.10%,75.80%,
Random Forest,,,,,,,,Random Forest,,,,,,,,Random Forest,76.0%,65.0%,70.9%,67.8%,78.80%,,,Random Forest,76.00%,65.00%,70.90%,67.80%,78.80%,
Gradient Boosting,,,,,,,,Gradient Boosting,,,,,,,,Gradient Boosting,75.3%,63.9%,70.9%,67.2%,77.80%,,,Gradient Boosting,73.40%,60.90%,70.90%,65.50%,74.70%,
Neural Network,,,,,,,,Neural Network,,,,,,,,Neural Network,64.3%,50.0%,56.4%,53.0%,68.70%,,,Neural Network,64.30%,50.00%,56.40%,53.00%,68.70%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFE,,,,,,,,RFE,,,,,,,,RFE,,,,,,,,RFE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,
Logistic_regression,81.1%,86.0%,68.3%,76.1%,91.3%,,,Logistic_regression,81.1%,86.0%,68.3%,76.1%,91.30%,,,Logistic_regression,74.0%,63.2%,65.5%,64.3%,78.80%,,,Logistic_regression,74.00%,63.20%,65.50%,64.30%,78.80%,
"Decision Tree""",74.8%,75.5%,63.5%,69.0%,83.8%,,,Decision Tree,74.8%,75.5%,63.5%,69.0%,83.80%,,,Decision Tree,72.7%,61.4%,63.6%,62.5%,77.80%,,,Decision Tree,72.70%,61.40%,63.60%,62.50%,77.80%,
Gradient Boosting,76.9%,84.1%,58.7%,69.2%,91.3%,,,Gradient Boosting,76.9%,84.1%,58.7%,69.2%,91.30%,,,Gradient Boosting,74.7%,64.3%,65.5%,64.9%,79.80%,,,Gradient Boosting,72.70%,60.70%,67.30%,63.80%,75.80%,
Neural Network,80.4%,83.0%,69.8%,75.9%,88.8%,,,Neural Network,80.4%,83.0%,69.8%,75.9%,88.80%,,,Neural Network,72.7%,65.9%,49.1%,56.3%,85.90%,,,Neural Network,72.70%,65.90%,49.10%,56.30%,85.90%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFFS,,,,,,,,RFFS,,,,,,,,RFFS,,,,,,,,RFFS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,,,Model, Accuracy, Precision, Sensitivity, Specificity, F1-score ,
Logistic_regression,81.1%,86.0%,68.3%,76.1%,91.3%,,,Logistic_regression,81.1%,86.0%,68.3%,76.1%,91.30%,,,Logistic_regression,74.0%,63.2%,65.5%,64.3%,78.80%,,,Logistic_regression,74.00%,63.20%,65.50%,64.30%,78.80%,
